18:00 ,1.8,1.7,1.9
18:10 ,1.9,1.8,2.1
18:20 ,2.1,1.9,2.2
18:30 ,0.9,0.9,0.9
18:40 ,0.2,0.3,0.2
18:50 ,0.2,0.2,0.2
19:00 ,0.1,0.1,0.1
19:10 ,0.1,0.1,0.1
19:20 ,0.1,0.1,0.1
19:30 ,0.2,0.2,0.2
19:40,0.3,0.4,0.3
19:50 ,0.4,0.4,0.5
20:00,0.7,0.7,0.7
20:10 ,1.2,1.3,1.1
20:20 ,1.4,1.5,1.3
20:30 ,1.5,1.5,1.5
20:40 ,1.5,1.4,1.5
20:50 ,1.0,1.1,1.0
21:00,0.8,1.0,0.6
21:10,0.7,0.9,0.6
21:20,0.6,0.8,0.4
21:30,0.5,0.6,0.3
21:40,0.4,0.5,0.2
21:50,0.4,0.4,0.3
22:00,0.3,0.3,0.2
22:10,0.2,0.3,0.2
22:20,0.2,0.2,0.2
22:30,0.4,0.5,0.4
22:40,0.5,0.7,0.4
22:50,0.6,0.7,0.4
23:00,0.3,0.4,0.3
